name,set_name,border_color,mana_cost,type_line,oracle_text,power,toughness,loyalty,collector_number,watermark,usd,eur
Goblin Bowling Team,Unglued,silver,{3}{R},Creature — Goblin,"If Goblin Bowling Team would deal damage to a permanent or player, it deals that much damage plus the result of a six-sided die roll to that permanent or player instead.",1,1,,44,,0.2,0.35
Mise,Unhinged,silver,{U},Instant,"Choose a nonland card name, then reveal the top card of your library. If that card has the chosen name, you draw three cards.",,,,38,,0.23,0.65
Steel Squirrel,Unstable,silver,{2},Artifact Creature — Squirrel,"Whenever you roll a 5 or higher on a die, Steel Squirrel gets +X/+X until end of turn, where X is the result.\n{6}: Roll a six-sided die",1,1,,162,,0.3,0.75
Knight of the Widget,Unstable,silver,{2}{W},Artifact Creature — Cyborg Knight,Vigilance\nKnight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control,*,*,,13,orderofthewidget,0.1,0.19
Eye to Eye,Unhinged,silver,{2}{B},Instant,"You and target creature's controller have a staring contest. If you win, destroy that creature.",,,,54,,0.28,0.48
Split Screen,Unstable,silver,{4},Artifact,"When Split Screen enters the battlefield, shuffle your library and deal it into four libraries. If anything refers to your library, choose one of your libraries for it.\nPlay with your libraries' top cards revealed.\nWhen Split Screen leaves the battlefield, shuffle your libraries togethe",,,,158,agentsofsneak,0.2,0.25
Six-y Beast,Unhinged,silver,{3}{R},Creature — Beast,"As Six-y Beast enters the battlefield, you secretly put six or fewer +1/+1 counters on it, then an opponent guesses the number of counters. If that player guesses right, sacrifice Six-y Beast after it enters the battlefield.",0,0,,89,,0.21,0.1
Handy Dandy Clone Machine,The List (Unfinity Foil Edition),silver,{3},Artifact,"{2}, {T}: Create a 2/2 colorless Homunculus creature token. It must be represented by a unique hand and two fingers at all times, or it ceases to exist.",,,,57,leagueofdastardlydoom,,
Aesthetic Consultation,Unhinged,silver,{B},Instant,"Choose an artist. Exile the top six cards of your library, then reveal cards from the top of your library until you reveal a card with art by the chosen artist. Put that card in your hand and exile all other cards revealed this way.",,,,48,,0.38,0.54
Togglodyte,Unhinged,silver,{3},Artifact Creature — Golem,"Togglodyte enters the battlefield turned on.\nWhenever a player casts a spell, toggle Togglodyte's ON/OFF switch.\nAs long as Togglodyte is turned off, it can't attack or block, and prevent all damage it would dea",4,4,,129,,0.23,0.09
Organ Harvest,Unglued,silver,{B},Sorcery,"Your team may sacrifice any number of creatures. For each creature sacrificed this way, you add {B}{B}.",,,,35,,0.21,0.02
X,The List (Unfinity Foil Edition),silver,{U}{B},Legendary Creature — Human Spy,"As long as X is in X's owner's opponent's hand, X's owner may cast X and activate X's abilities. That opponent can't cast X and plays with their hand revealed.\n{U}{B}, {T}: Put X into target opponent's hand.\n{3}{U}{B}: You may play a land or cast a spell from the hand X is in. If you cast a spell this way, you cast it without paying its mana cos",2,2,,53,agentsofsneak,,
